105.9,260.55,65.75,58.99
103.6,263.23,67.22,60.54
91.6,260.55,65.09,58.23
118.6,263.23,67.12,60.86
103.3,260.55,67.49,60.87
104.9,263.23,66.33,59.19
120.4,260.55,66.09,58.11
104.5,263.23,66.61,59.80
108.1,260.55,64.40,57.53
104.8,263.23,66.45,59.76
89.8,260.55,66.48,59.23
119.4,263.23,66.62,59.82
107.7,260.55,64.64,57.79
105.4,263.23,66.03,58.27
105.3,260.55,66.16,58.84
102.8,263.25,67.74,61.33
103.4,260.56,67.37,59.08
119.2,263.25,66.76,59.83
89.7,260.56,66.60,58.93
103.9,263.25,66.96,60.10
123.7,260.56,64.31,57.54
104.8,263.25,66.42,59.70
106.2,260.56,65.60,58.52
104.6,263.25,66.62,60.28
107.0,260.56,65.08,59.18
92.9,263.25,64.26,57.64
116.4,260.56,68.46,60.99
103.5,263.25,67.24,59.90
106.2,260.56,65.63,58.65
101.2,263.25,68.93,62.17
106.2,260.56,65.55,58.54
119.1,263.25,66.78,59.96
92.2,260.56,64.69,57.93
103.3,263.25,67.42,60.33
117.3,260.56,67.97,60.66
89.5,263.25,66.63,59.02
123.2,260.56,64.52,57.91
107.3,263.25,64.88,58.53
105.3,260.56,66.16,59.91
86.7,263.27,68.82,60.09
62.8,260.58,143.09,129.57
97.1,263.27,82.05,67.95
104.7,260.58,66.59,60.04
100.9,263.27,69.06,61.60
104.3,260.58,66.87,60.73
116.2,263.27,68.50,61.09
105.3,260.58,66.13,59.23
112.9,263.27,70.59,63.29
107.5,260.58,64.73,57.83
104.3,263.27,66.72,59.17
107.0,260.58,65.03,57.56
105.2,263.27,66.16,58.99
106.8,260.58,65.21,58.48
104.5,263.27,66.67,60.28
104.1,260.59,66.93,60.44
118.7,263.28,66.98,60.35
109.4,260.59,63.62,57.77
90.1,263.28,66.21,58.69
102.2,260.59,68.11,61.16
101.9,263.28,68.40,61.80
123.0,260.59,64.71,57.71
100.3,263.28,69.50,62.19
106.5,260.59,65.35,57.59
104.3,263.28,66.67,59.14
106.8,260.59,65.20,57.41
105.0,263.28,66.33,58.99
107.0,260.59,65.06,58.41
87.5,263.28,68.23,60.95
117.5,260.59,76.32,69.52
105.9,263.28,65.78,58.73
99.4,260.59,70.16,63.41
104.8,263.28,66.41,59.57
118.4,260.59,67.20,61.38
104.4,263.28,66.63,59.74
105.8,260.61,65.77,59.77
92.0,263.30,64.83,58.36
116.1,260.61,68.62,62.21
91.4,263.30,65.25,58.54
118.8,260.61,67.00,59.98
106.7,263.30,65.24,58.51
104.2,260.61,66.85,59.82
106.7,263.30,65.23,58.39
118.0,260.61,67.45,60.42
91.2,263.30,65.41,58.33
119.0,260.61,66.86,59.99
106.5,263.30,65.39,58.69
104.3,260.61,66.77,60.02
91.9,263.30,64.95,58.22
103.8,260.61,67.04,59.68
116.6,263.30,68.23,59.14
102.9,260.61,67.64,59.62
92.6,263.30,64.42,57.40
118.0,260.61,67.40,59.70
106.0,263.30,65.63,57.69
88.2,260.61,67.64,60.31
104.2,263.30,66.93,59.92
120.2,260.61,66.16,59.49
108.2,263.30,64.35,57.25
90.3,260.61,66.13,58.75
107.0,263.30,65.03,58.69
103.7,260.61,67.17,60.30
122.6,263.30,64.85,59.01
105.9,260.61,65.77,58.86
104.9,263.30,66.37,60.59
90.4,260.61,66.05,59.63
104.0,263.30,67.08,60.86
103.3,260.61,67.42,60.66
120.6,263.30,66.01,58.93
86.5,260.61,69.11,61.52
109.1,263.30,63.78,57.43
122.6,260.61,64.93,57.83
103.6,263.30,67.30,60.16
104.0,260.61,66.92,60.55
103.6,263.30,67.19,60.57
102.1,260.61,68.26,60.68
91.7,263.30,65.05,57.66
105.4,260.61,66.00,58.90
106.3,263.30,65.46,57.96
116.6,260.61,68.18,61.32
91.4,263.30,65.20,57.66
119.6,260.61,66.45,59.38
92.2,263.30,64.68,57.96
118.4,260.61,67.20,60.26
91.6,263.30,65.12,58.39
104.7,260.61,66.51,60.53
122.2,263.30,65.12,58.57
102.7,260.61,67.92,61.63
107.3,263.30,64.84,58.99
104.3,260.61,66.71,59.76
106.6,263.30,65.32,59.56
106.2,260.61,65.58,59.07
105.2,263.30,66.30,61.06
106.6,260.61,65.37,58.87
116.8,263.30,68.19,61.13
104.1,260.61,66.92,61.36
105.4,263.30,66.13,59.98
106.2,260.61,65.59,59.02
104.8,263.30,66.52,59.50
103.5,260.61,67.22,60.79
92.9,263.30,64.24,58.04
133.5,260.61,67.15,60.97
91.7,263.31,65.08,57.69
79.3,260.62,87.86,69.56
71.4,263.31,139.77,121.15
103.1,260.62,67.55,60.30
105.3,263.31,66.16,59.26
