CPU_Percent,RAM_MB,Total_Latency_ms,Inference_Latency_ms
77.2,206.94,38.35,14.88
54.4,204.27,36.42,13.68
54.6,206.94,36.02,13.28
80.7,204.27,36.64,13.31
53.1,206.94,37.16,13.78
79.8,204.27,37.06,13.65
53.4,206.94,36.92,13.24
54.4,204.27,36.25,13.53
53.7,206.94,36.72,13.60
52.6,204.27,37.49,13.96
81.3,206.94,36.31,13.35
54.1,204.27,36.39,13.55
53.6,206.94,36.76,13.41
78.8,204.27,37.56,13.96
54.1,206.94,36.40,13.51
79.7,204.27,37.07,13.58
53.3,206.94,37.01,13.46
52.4,204.27,37.65,13.95
54.3,206.94,36.27,13.22
82.5,204.27,35.82,13.35
54.1,206.94,36.42,13.35
50.7,204.27,38.94,14.11
81.7,206.94,35.94,13.60
53.8,204.27,36.67,13.39
81.7,206.94,36.18,13.25
52.4,204.27,37.66,13.81
53.8,206.94,36.60,13.58
52.8,204.27,37.31,13.39
84.3,206.94,34.99,13.66
51.5,204.27,38.27,13.75
55.4,206.94,35.51,13.58
78.1,204.28,37.88,13.30
54.5,206.95,36.14,13.39
52.4,204.28,37.64,13.73
53.9,206.95,36.55,13.90
79.9,204.28,36.99,13.40
82.5,206.95,35.81,13.33
52.4,204.30,37.65,13.63
53.8,206.97,36.64,13.88
54.7,204.31,35.98,13.29
81.6,206.98,36.18,13.35
51.8,204.31,38.09,13.57
52.9,206.98,37.26,13.99
80.3,204.31,36.78,13.45
55.8,206.98,35.25,13.39
52.3,204.31,37.76,13.42
79.8,206.98,37.11,14.01
53.1,204.31,37.16,13.62
82.8,206.98,35.68,13.32
52.9,204.31,37.31,13.33
53.7,206.98,36.74,13.71
52.7,204.31,37.40,13.72
84.0,206.98,35.19,13.24
52.2,204.31,37.75,13.41
53.3,206.98,37.01,13.71
53.2,204.31,37.03,13.82
80.5,206.98,36.73,13.49
55.4,204.31,35.61,13.39
78.5,206.98,37.68,13.70
53.2,204.31,37.07,13.85
52.8,207.00,37.38,13.15
56.2,204.33,35.06,13.42
52.5,207.00,37.60,13.60
78.9,204.33,37.51,13.99
83.1,207.00,35.12,13.21
52.0,204.33,37.83,13.85
54.4,207.00,36.22,13.46
79.6,204.33,37.17,13.86
53.2,207.00,37.03,13.38
54.2,204.33,36.33,13.34
54.1,207.00,36.44,13.47
52.3,204.33,37.69,14.14
81.3,207.00,36.09,13.44
82.4,204.33,35.88,13.31
53.0,207.00,37.18,13.23
52.5,204.33,37.60,13.84
50.6,207.00,39.00,13.32
85.0,204.33,34.78,13.36
55.3,207.00,35.65,13.24
52.7,204.33,37.46,13.73
81.3,207.00,36.39,13.75
51.8,204.33,38.05,13.37
56.8,207.00,34.65,13.42
52.8,204.33,37.32,13.87
53.2,207.00,37.04,14.09
80.4,204.33,36.75,13.21
54.9,207.00,35.80,13.31
79.2,204.33,37.37,13.71
53.4,207.00,36.94,13.83
79.6,204.33,36.97,13.50
27.4,207.00,35.79,13.41
